Timestamp,Sample 1,Sample 02,Sample 03,Sample 04,Sample 05,Sample 06,Sample 07 ,Sample 08,Sample 09,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20
5/8/2026 15:38:45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5/8/2026 15:43:16,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
5/8/2026 15:44:36,5,5,4,4,5,5,4,4,3,4,4,5,5,4,4,5,5,4,4,4
5/8/2026 15:47:04,4,5,3,5,4,5,3,5,4,4,5,3,5,3,5,5,5,4,4,4
5/8/2026 15:47:20,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,4,1,1
5/8/2026 15:51:27,3,4,3,3,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5
5/8/2026 15:51:50,4,4,5,4,3,5,5,4,4,5,5,3,4,4,4,4,5,5,3,5
5/8/2026 15:56:39,3,4,5,3,3,4,4,3,3,3,2,3,4,3,2,4,3,2,2,3
5/8/2026 15:59:21,5,3,4,5,3,4,5,3,4,5,3,5,4,4,4,3,5,4,5,3
5/8/2026 16:00:55,4,4,3,5,4,4,5,4,3,1,2,5,4,3,5,5,5,1,2,3
5/8/2026 16:01:15,4,3,2,3,4,2,2,3,4,2,3,4,4,5,3,4,2,3,4,3
