file,pitch_histogram_similarity,rhythm_diversity,repetition_ratio
baseline_markov_1.mid,0.328,0.13,0.0
baseline_markov_2.mid,0.4106,0.12,0.0
baseline_markov_3.mid,0.4067,0.16,0.0
baseline_markov_4.mid,0.3587,0.16,0.0
baseline_markov_5.mid,0.34,0.12,0.0
baseline_random_1.mid,0.2876,0.0612,0.0
baseline_random_2.mid,0.2923,0.0652,0.0
baseline_random_3.mid,0.5192,0.0556,0.0
baseline_random_4.mid,0.6261,0.0517,0.0
baseline_random_5.mid,0.2709,0.0556,0.0
rlhf_survey_sample_1.mid,0.9186,0.0703,0.048
rlhf_survey_sample_10.mid,0.9736,0.125,0.0
rlhf_survey_sample_11.mid,0.5186,0.0571,0.0
rlhf_survey_sample_12.mid,0.4617,0.0699,0.0071
rlhf_survey_sample_13.mid,0.9068,0.0362,0.0148
rlhf_survey_sample_14.mid,0.3202,0.0769,0.0
rlhf_survey_sample_15.mid,0.4671,0.0196,0.0
rlhf_survey_sample_16.mid,0.6703,0.1385,0.0
rlhf_survey_sample_17.mid,0.6771,0.0458,0.0067
rlhf_survey_sample_18.mid,0.6066,0.2164,0.0
rlhf_survey_sample_19.mid,0.3222,0.0643,0.0
rlhf_survey_sample_2.mid,1.2967,0.0077,0.0787
rlhf_survey_sample_20.mid,0.5087,0.0392,0.0
rlhf_survey_sample_3.mid,0.8138,0.0227,0.031
rlhf_survey_sample_4.mid,0.6156,0.0949,0.0
rlhf_survey_sample_5.mid,1.0901,0.031,0.0317
rlhf_survey_sample_6.mid,0.934,0.1221,0.0156
rlhf_survey_sample_7.mid,0.6923,0.0274,0.021
rlhf_survey_sample_8.mid,0.576,0.0725,0.0074
rlhf_survey_sample_9.mid,0.4887,0.0203,0.0069
task1_generated_1.mid,0.7388,0.5435,0.0
task1_generated_2.mid,0.8874,0.3774,0.06
task1_generated_3.mid,1.0063,0.7073,0.0
task1_generated_4.mid,0.5557,0.3784,0.0
task1_generated_5.mid,0.6755,0.6889,0.0
task2_interpolation_alpha0.00.mid,0.2191,0.1136,0.0
task2_interpolation_alpha0.14.mid,0.216,0.093,0.0
task2_interpolation_alpha0.29.mid,0.1984,0.122,0.0
task2_interpolation_alpha0.43.mid,0.2289,0.1,0.0
task2_interpolation_alpha0.57.mid,0.2097,0.1026,0.0
task2_interpolation_alpha0.71.mid,0.2097,0.1026,0.0
task2_interpolation_alpha0.86.mid,0.242,0.1053,0.0
task2_interpolation_alpha1.00.mid,0.1984,0.1707,0.0
task2_vae_sample_1.mid,0.2094,0.0909,0.0
task2_vae_sample_2.mid,0.192,0.0926,0.0
task2_vae_sample_3.mid,0.1623,0.093,0.0
task2_vae_sample_4.mid,0.2074,0.1333,0.0
task2_vae_sample_5.mid,0.2124,0.1053,0.0
task2_vae_sample_6.mid,0.1972,0.0926,0.0
task2_vae_sample_7.mid,0.1461,0.1154,0.0
task2_vae_sample_8.mid,0.2567,0.1458,0.0
task3_transformer_1.mid,0.6679,0.0411,0.0
task3_transformer_10.mid,1.0846,0.0294,0.015
task3_transformer_2.mid,0.8449,0.0068,0.021
task3_transformer_3.mid,1.1537,0.0236,0.0887
task3_transformer_4.mid,0.5748,0.1885,0.0
task3_transformer_5.mid,0.995,0.0078,0.128
task3_transformer_6.mid,0.511,0.0698,0.0079
task3_transformer_7.mid,1.0699,0.0699,0.0143
task3_transformer_8.mid,0.4769,0.0278,0.0142
task3_transformer_9.mid,0.7674,0.0703,0.0
task4_rlhf_1.mid,0.5725,0.0534,0.0156
task4_rlhf_10.mid,0.4603,0.013,0.0331
task4_rlhf_2.mid,1.175,0.0922,0.0797
task4_rlhf_3.mid,0.6182,0.0315,0.0484
task4_rlhf_4.mid,0.5856,0.1214,0.0073
task4_rlhf_5.mid,0.4378,0.0203,0.0207
task4_rlhf_6.mid,0.8411,0.0407,0.0167
task4_rlhf_7.mid,0.376,0.0476,0.0
task4_rlhf_8.mid,0.5452,0.0132,0.0201
task4_rlhf_9.mid,0.7603,0.0859,0.0
